-------------------------------------------------------------------------------
Unless stated otherwise, all data in the OATH Dataset is licensed under a
inuv 07/Jan/2013 06:19:18.0,images/scaled_cropped/00021.png
inuv 07/Jan/2013 06:19:42.0,images/scaled_cropped/00022.png
inuv 07/Jan/2013 06:21:30.0,images/scaled_cropped/00023.png
inuv 07/Jan/2013 06:22:57.0,images/scaled_cropped/00024.png
inuv 07/Jan/2013 06:23:00.0,images/scaled_cropped/00025.png
inuv 07/Jan/2013 06:23:48.0,images/scaled_cropped/00026.png
inuv 07/Jan/2013 06:24:45.0,images/scaled_cropped/00027.png
inuv 07/Jan/2013 06:24:48.0,images/scaled_cropped/00028.png
inuv 07/Jan/2013 06:24:51.0,images/scaled_cropped/00029.png
inuv 07/Jan/2013 06:25:30.0,images/scaled_cropped/00030.png
inuv 07/Jan/2013 06:26:00.0,images/scaled_cropped/00031.png
inuv 07/Jan/2013 06:26:45.0,images/scaled_cropped/00032.png
inuv 07/Jan/2013 06:28:39.0,images/scaled_cropped/00033.png
inuv 07/Jan/2013 06:28:51.0,images/scaled_cropped/00034.png
inuv 07/Jan/2013 06:28:54.0,images/scaled_cropped/00035.png
inuv 07/Jan/2013 06:29:24.0,images/scaled_cropped/00036.png
inuv 07/Jan/2013 06:29:33.0,images/scaled_cropped/00037.png
inuv 07/Jan/2013 06:29:51.0,images/scaled_cropped/00038.png
inuv 07/Jan/2013 06:30:09.0,images/scaled_cropped/00039.png
inuv 07/Jan/2013 06:30:42.0,images/scaled_cropped/00040.png
inuv 07/Jan/2013 06:32:42.0,images/scaled_cropped/00041.png
inuv 07/Jan/2013 06:33:30.0,images/scaled_cropped/00042.png
inuv 07/Jan/2013 06:36:06.0,images/scaled_cropped/00043.png
inuv 07/Jan/2013 06:36:18.0,images/scaled_cropped/00044.png
inuv 07/Jan/2013 06:38:36.0,images/scaled_cropped/00045.png
inuv 07/Jan/2013 06:39:00.0,images/scaled_cropped/00046.png
inuv 07/Jan/2013 06:39:51.0,images/scaled_cropped/00047.png
inuv 07/Jan/2013 06:39:57.0,images/scaled_cropped/00048.png
inuv 07/Jan/2013 06:40:09.0,images/scaled_cropped/00049.png
inuv 07/Jan/2013 06:40:27.0,images/scaled_cropped/00050.png
inuv 07/Jan/2013 06:40:42.0,images/scaled_cropped/00051.png
inuv 07/Jan/2013 06:41:39.0,images/scaled_cropped/00052.png
inuv 07/Jan/2013 06:44:45.0,images/scaled_cropped/00053.png
inuv 07/Jan/2013 06:45:06.0,images/scaled_cropped/00054.png
inuv 07/Jan/2013 06:45:42.0,images/scaled_cropped/00055.png
inuv 07/Jan/2013 06:46:24.0,images/scaled_cropped/00056.png
inuv 07/Jan/2013 06:46:36.0,images/scaled_cropped/00057.png
inuv 07/Jan/2013 06:48:48.0,images/scaled_cropped/00058.png
inuv 07/Jan/2013 06:50:54.0,images/scaled_cropped/00059.png
inuv 07/Jan/2013 06:51:15.0,images/scaled_cropped/00060.png
inuv 07/Jan/2013 06:52:03.0,images/scaled_cropped/00061.png
inuv 07/Jan/2013 06:53:03.0,images/scaled_cropped/00062.png
inuv 07/Jan/2013 06:53:15.0,images/scaled_cropped/00063.png
inuv 07/Jan/2013 06:54:57.0,images/scaled_cropped/00064.png
inuv 07/Jan/2013 06:56:24.0,images/scaled_cropped/00065.png
inuv 07/Jan/2013 06:56:36.0,images/scaled_cropped/00066.png
inuv 07/Jan/2013 06:56:39.0,images/scaled_cropped/00067.png
inuv 07/Jan/2013 06:56:57.0,images/scaled_cropped/00068.png
inuv 07/Jan/2013 06:57:30.0,images/scaled_cropped/00069.png
inuv 07/Jan/2013 06:58:06.0,images/scaled_cropped/00070.png
inuv 07/Jan/2013 06:59:51.0,images/scaled_cropped/00071.png
inuv 07/Jan/2013 07:00:42.0,images/scaled_cropped/00072.png
inuv 07/Jan/2013 07:00:57.0,images/scaled_cropped/00073.png
inuv 07/Jan/2013 07:01:09.0,images/scaled_cropped/00074.png
inuv 07/Jan/2013 07:01:12.0,images/scaled_cropped/00075.png
inuv 07/Jan/2013 07:01:33.0,images/scaled_cropped/00076.png
inuv 07/Jan/2013 07:01:48.0,images/scaled_cropped/00077.png
inuv 07/Jan/2013 07:04:15.0,images/scaled_cropped/00078.png
inuv 07/Jan/2013 07:05:18.0,images/scaled_cropped/00079.png
inuv 07/Jan/2013 07:07:54.0,images/scaled_cropped/00080.png
inuv 07/Jan/2013 07:08:09.0,images/scaled_cropped/00081.png
inuv 07/Jan/2013 07:09:51.0,images/scaled_cropped/00082.png
inuv 07/Jan/2013 07:10:03.0,images/scaled_cropped/00083.png
inuv 07/Jan/2013 07:10:33.0,images/scaled_cropped/00084.png
inuv 07/Jan/2013 07:11:15.0,images/scaled_cropped/00085.png
inuv 07/Jan/2013 07:12:09.0,images/scaled_cropped/00086.png
inuv 07/Jan/2013 07:12:48.0,images/scaled_cropped/00087.png
inuv 07/Jan/2013 07:13:06.0,images/scaled_cropped/00088.png
inuv 07/Jan/2013 07:13:18.0,images/scaled_cropped/00089.png
inuv 07/Jan/2013 07:13:36.0,images/scaled_cropped/00090.png
inuv 07/Jan/2013 07:15:57.0,images/scaled_cropped/00091.png
inuv 07/Jan/2013 07:17:15.0,images/scaled_cropped/00092.png
inuv 07/Jan/2013 07:17:18.0,images/scaled_cropped/00093.png
inuv 07/Jan/2013 07:18:54.0,images/scaled_cropped/00094.png
inuv 07/Jan/2013 07:19:09.0,images/scaled_cropped/00095.png
inuv 07/Jan/2013 07:19:18.0,images/scaled_cropped/00096.png
inuv 07/Jan/2013 07:20:00.0,images/scaled_cropped/00097.png
inuv 07/Jan/2013 07:20:48.0,images/scaled_cropped/00098.png
inuv 07/Jan/2013 07:21:30.0,images/scaled_cropped/00099.png
inuv 07/Jan/2013 07:22:03.0,images/scaled_cropped/00100.png
inuv 07/Jan/2013 07:23:03.0,images/scaled_cropped/00101.png
inuv 07/Jan/2013 07:24:00.0,images/scaled_cropped/00102.png
inuv 07/Jan/2013 07:26:12.0,images/scaled_cropped/00103.png
inuv 07/Jan/2013 07:26:15.0,images/scaled_cropped/00104.png
inuv 07/Jan/2013 07:27:36.0,images/scaled_cropped/00105.png
inuv 07/Jan/2013 07:27:39.0,images/scaled_cropped/00106.png
inuv 07/Jan/2013 07:28:54.0,images/scaled_cropped/00107.png
inuv 07/Jan/2013 07:29:15.0,images/scaled_cropped/00108.png
inuv 07/Jan/2013 07:29:30.0,images/scaled_cropped/00109.png
inuv 07/Jan/2013 07:30:33.0,images/scaled_cropped/00110.png
inuv 07/Jan/2013 07:32:36.0,images/scaled_cropped/00111.png
inuv 07/Jan/2013 07:32:39.0,images/scaled_cropped/00112.png
inuv 07/Jan/2013 07:32:45.0,images/scaled_cropped/00113.png
inuv 07/Jan/2013 07:35:57.0,images/scaled_cropped/00114.png
inuv 07/Jan/2013 07:36:33.0,images/scaled_cropped/00115.png
inuv 07/Jan/2013 07:36:45.0,images/scaled_cropped/00116.png
inuv 07/Jan/2013 07:36:48.0,images/scaled_cropped/00117.png
inuv 07/Jan/2013 07:37:06.0,images/scaled_cropped/00118.png
inuv 07/Jan/2013 07:38:09.0,images/scaled_cropped/00119.png
inuv 07/Jan/2013 07:38:45.0,images/scaled_cropped/00120.png
inuv 07/Jan/2013 07:38:57.0,images/scaled_cropped/00121.png
inuv 07/Jan/2013 07:39:12.0,images/scaled_cropped/00122.png
inuv 07/Jan/2013 07:39:18.0,images/scaled_cropped/00123.png
inuv 07/Jan/2013 07:40:15.0,images/scaled_cropped/00124.png
inuv 07/Jan/2013 07:41:24.0,images/scaled_cropped/00125.png
inuv 07/Jan/2013 07:42:03.0,images/scaled_cropped/00126.png
inuv 07/Jan/2013 07:43:00.0,images/scaled_cropped/00127.png
inuv 07/Jan/2013 07:43:24.0,images/scaled_cropped/00128.png
inuv 07/Jan/2013 07:43:48.0,images/scaled_cropped/00129.png
inuv 07/Jan/2013 07:43:51.0,images/scaled_cropped/00130.png
inuv 07/Jan/2013 07:47:00.0,images/scaled_cropped/00131.png
inuv 07/Jan/2013 07:47:12.0,images/scaled_cropped/00132.png
inuv 07/Jan/2013 07:47:18.0,images/scaled_cropped/00133.png
inuv 07/Jan/2013 07:48:12.0,images/scaled_cropped/00134.png
inuv 07/Jan/2013 07:49:12.0,images/scaled_cropped/00135.png
inuv 07/Jan/2013 07:50:00.0,images/scaled_cropped/00136.png
inuv 07/Jan/2013 07:50:12.0,images/scaled_cropped/00137.png
inuv 07/Jan/2013 07:50:42.0,images/scaled_cropped/00138.png
inuv 07/Jan/2013 07:50:54.0,images/scaled_cropped/00139.png
inuv 07/Jan/2013 07:51:09.0,images/scaled_cropped/00140.png
inuv 07/Jan/2013 07:51:24.0,images/scaled_cropped/00141.png
inuv 07/Jan/2013 07:51:54.0,images/scaled_cropped/00142.png
inuv 07/Jan/2013 07:52:06.0,images/scaled_cropped/00143.png
inuv 07/Jan/2013 07:52:21.0,images/scaled_cropped/00144.png
inuv 07/Jan/2013 07:54:24.0,images/scaled_cropped/00145.png
inuv 07/Jan/2013 07:56:48.0,images/scaled_cropped/00146.png
inuv 07/Jan/2013 07:57:42.0,images/scaled_cropped/00147.png
inuv 07/Jan/2013 07:57:45.0,images/scaled_cropped/00148.png
inuv 07/Jan/2013 07:57:57.0,images/scaled_cropped/00149.png
inuv 07/Jan/2013 07:58:12.0,images/scaled_cropped/00150.png
inuv 07/Jan/2013 07:58:42.0,images/scaled_cropped/00151.png
inuv 07/Jan/2013 07:59:09.0,images/scaled_cropped/00152.png
inuv 07/Jan/2013 08:01:09.0,images/scaled_cropped/00153.png
inuv 07/Jan/2013 08:01:12.0,images/scaled_cropped/00154.png
inuv 07/Jan/2013 08:02:18.0,images/scaled_cropped/00155.png
inuv 07/Jan/2013 08:02:24.0,images/scaled_cropped/00156.png
inuv 07/Jan/2013 08:04:03.0,images/scaled_cropped/00157.png
inuv 07/Jan/2013 08:04:51.0,images/scaled_cropped/00158.png
inuv 07/Jan/2013 08:06:33.0,images/scaled_cropped/00159.png
inuv 07/Jan/2013 08:07:33.0,images/scaled_cropped/00160.png
inuv 07/Jan/2013 08:08:09.0,images/scaled_cropped/00161.png
inuv 07/Jan/2013 08:11:03.0,images/scaled_cropped/00162.png
inuv 07/Jan/2013 08:11:51.0,images/scaled_cropped/00163.png
inuv 07/Jan/2013 08:12:15.0,images/scaled_cropped/00164.png
inuv 07/Jan/2013 08:12:33.0,images/scaled_cropped/00165.png
inuv 07/Jan/2013 08:12:42.0,images/scaled_cropped/00166.png
inuv 07/Jan/2013 08:12:48.0,images/scaled_cropped/00167.png
inuv 07/Jan/2013 08:14:03.0,images/scaled_cropped/00168.png
inuv 07/Jan/2013 08:14:45.0,images/scaled_cropped/00169.png
inuv 07/Jan/2013 08:14:54.0,images/scaled_cropped/00170.png
inuv 07/Jan/2013 08:15:36.0,images/scaled_cropped/00171.png
inuv 07/Jan/2013 08:15:45.0,images/scaled_cropped/00172.png
inuv 07/Jan/2013 08:18:12.0,images/scaled_cropped/00173.png
inuv 07/Jan/2013 08:19:57.0,images/scaled_cropped/00174.png
inuv 07/Jan/2013 08:22:06.0,images/scaled_cropped/00175.png
inuv 07/Jan/2013 08:23:03.0,images/scaled_cropped/00176.png
inuv 07/Jan/2013 08:24:36.0,images/scaled_cropped/00177.png
inuv 07/Jan/2013 08:25:45.0,images/scaled_cropped/00178.png
inuv 07/Jan/2013 08:25:48.0,images/scaled_cropped/00179.png
inuv 07/Jan/2013 08:30:12.0,images/scaled_cropped/00180.png
inuv 07/Jan/2013 08:33:06.0,images/scaled_cropped/00181.png
inuv 07/Jan/2013 08:33:15.0,images/scaled_cropped/00182.png
inuv 07/Jan/2013 08:36:57.0,images/scaled_cropped/00183.png
inuv 07/Jan/2013 08:37:57.0,images/scaled_cropped/00184.png
inuv 07/Jan/2013 08:38:51.0,images/scaled_cropped/00185.png
inuv 07/Jan/2013 08:42:03.0,images/scaled_cropped/00186.png
inuv 07/Jan/2013 08:42:06.0,images/scaled_cropped/00187.png
inuv 07/Jan/2013 08:42:18.0,images/scaled_cropped/00188.png
inuv 07/Jan/2013 08:44:21.0,images/scaled_cropped/00189.png
inuv 07/Jan/2013 08:45:33.0,images/scaled_cropped/00190.png
inuv 07/Jan/2013 08:49:24.0,images/scaled_cropped/00191.png
inuv 07/Jan/2013 08:50:00.0,images/scaled_cropped/00192.png
inuv 07/Jan/2013 08:50:45.0,images/scaled_cropped/00193.png
inuv 07/Jan/2013 08:51:30.0,images/scaled_cropped/00194.png
inuv 07/Jan/2013 08:51:57.0,images/scaled_cropped/00195.png
inuv 07/Jan/2013 08:52:12.0,images/scaled_cropped/00196.png
inuv 07/Jan/2013 08:54:12.0,images/scaled_cropped/00197.png
inuv 07/Jan/2013 08:54:24.0,images/scaled_cropped/00198.png
inuv 07/Jan/2013 08:55:00.0,images/scaled_cropped/00199.png
inuv 07/Jan/2013 08:55:48.0,images/scaled_cropped/00200.png
inuv 07/Jan/2013 08:56:24.0,images/scaled_cropped/00201.png
inuv 07/Jan/2013 08:57:12.0,images/scaled_cropped/00202.png
inuv 07/Jan/2013 08:58:21.0,images/scaled_cropped/00203.png
inuv 07/Jan/2013 08:58:39.0,images/scaled_cropped/00204.png
inuv 07/Jan/2013 08:59:06.0,images/scaled_cropped/00205.png
inuv 07/Jan/2013 08:59:27.0,images/scaled_cropped/00206.png
whit 19/Dec/2015 13:01:00.0,images/scaled_cropped/00207.png
whit 19/Dec/2015 13:05:57.0,images/scaled_cropped/00208.png
whit 19/Dec/2015 13:06:30.0,images/scaled_cropped/00209.png
whit 19/Dec/2015 13:09:15.0,images/scaled_cropped/00210.png
whit 19/Dec/2015 13:12:09.0,images/scaled_cropped/00211.png
whit 19/Dec/2015 13:12:27.0,images/scaled_cropped/00212.png
whit 19/Dec/2015 13:13:45.0,images/scaled_cropped/00213.png
whit 19/Dec/2015 13:14:18.0,images/scaled_cropped/00214.png
whit 19/Dec/2015 13:15:12.0,images/scaled_cropped/00215.png
whit 19/Dec/2015 13:19:42.0,images/scaled_cropped/00216.png
whit 19/Dec/2015 13:23:48.0,images/scaled_cropped/00217.png
whit 19/Dec/2015 13:24:48.0,images/scaled_cropped/00218.png
whit 19/Dec/2015 13:25:30.0,images/scaled_cropped/00219.png
whit 19/Dec/2015 13:26:00.0,images/scaled_cropped/00220.png
whit 19/Dec/2015 13:26:45.0,images/scaled_cropped/00221.png
whit 19/Dec/2015 13:32:42.0,images/scaled_cropped/00222.png
whit 19/Dec/2015 13:33:30.0,images/scaled_cropped/00223.png
whit 19/Dec/2015 13:36:06.0,images/scaled_cropped/00224.png
whit 19/Dec/2015 13:36:18.0,images/scaled_cropped/00225.png
whit 19/Dec/2015 13:39:57.0,images/scaled_cropped/00226.png
whit 19/Dec/2015 13:40:09.0,images/scaled_cropped/00227.png
whit 19/Dec/2015 13:40:42.0,images/scaled_cropped/00228.png
whit 19/Dec/2015 13:45:42.0,images/scaled_cropped/00229.png
whit 19/Dec/2015 13:46:24.0,images/scaled_cropped/00230.png
whit 19/Dec/2015 13:53:03.0,images/scaled_cropped/00231.png
whit 19/Dec/2015 13:53:15.0,images/scaled_cropped/00232.png
whit 19/Dec/2015 13:56:24.0,images/scaled_cropped/00233.png
whit 19/Dec/2015 13:58:06.0,images/scaled_cropped/00234.png
kapu 28/Feb/2009 10:01:00.0,images/scaled_cropped/00235.png
kapu 28/Feb/2009 10:05:57.0,images/scaled_cropped/00236.png
kapu 28/Feb/2009 10:06:30.0,images/scaled_cropped/00237.png
kapu 28/Feb/2009 10:09:15.0,images/scaled_cropped/00238.png
kapu 28/Feb/2009 10:12:09.0,images/scaled_cropped/00239.png
kapu 28/Feb/2009 10:12:27.0,images/scaled_cropped/00240.png
kapu 28/Feb/2009 10:13:45.0,images/scaled_cropped/00241.png
kapu 28/Feb/2009 10:14:18.0,images/scaled_cropped/00242.png
kapu 28/Feb/2009 10:15:12.0,images/scaled_cropped/00243.png
kapu 28/Feb/2009 10:19:42.0,images/scaled_cropped/00244.png
kapu 28/Feb/2009 10:23:48.0,images/scaled_cropped/00245.png
kapu 28/Feb/2009 10:24:48.0,images/scaled_cropped/00246.png
kapu 28/Feb/2009 10:25:30.0,images/scaled_cropped/00247.png
kapu 28/Feb/2009 10:26:00.0,images/scaled_cropped/00248.png
kapu 28/Feb/2009 10:26:45.0,images/scaled_cropped/00249.png
kapu 28/Feb/2009 10:32:42.0,images/scaled_cropped/00250.png
kapu 28/Feb/2009 10:33:30.0,images/scaled_cropped/00251.png
kapu 28/Feb/2009 10:36:06.0,images/scaled_cropped/00252.png
kapu 28/Feb/2009 10:36:18.0,images/scaled_cropped/00253.png
kapu 28/Feb/2009 10:39:57.0,images/scaled_cropped/00254.png
kapu 28/Feb/2009 10:40:09.0,images/scaled_cropped/00255.png
kapu 28/Feb/2009 10:40:42.0,images/scaled_cropped/00256.png
kapu 28/Feb/2009 10:45:42.0,images/scaled_cropped/00257.png
kapu 28/Feb/2009 10:46:24.0,images/scaled_cropped/00258.png
kapu 28/Feb/2009 10:53:03.0,images/scaled_cropped/00259.png
kapu 28/Feb/2009 10:53:15.0,images/scaled_cropped/00260.png
kapu 28/Feb/2009 10:56:24.0,images/scaled_cropped/00261.png
kapu 28/Feb/2009 10:58:06.0,images/scaled_cropped/00262.png
snkq 28/Feb/2008 01:00:06.0,images/scaled_cropped/00263.png
snkq 28/Feb/2008 01:01:00.0,images/scaled_cropped/00264.png
snkq 28/Feb/2008 01:01:12.0,images/scaled_cropped/00265.png
snkq 28/Feb/2008 01:05:57.0,images/scaled_cropped/00266.png
snkq 28/Feb/2008 01:06:30.0,images/scaled_cropped/00267.png
snkq 28/Feb/2008 01:09:06.0,images/scaled_cropped/00268.png
snkq 28/Feb/2008 01:09:15.0,images/scaled_cropped/00269.png
snkq 28/Feb/2008 01:11:54.0,images/scaled_cropped/00270.png
snkq 28/Feb/2008 01:12:03.0,images/scaled_cropped/00271.png
snkq 28/Feb/2008 01:12:09.0,images/scaled_cropped/00272.png
snkq 28/Feb/2008 01:12:21.0,images/scaled_cropped/00273.png
snkq 28/Feb/2008 01:12:27.0,images/scaled_cropped/00274.png
snkq 28/Feb/2008 01:13:33.0,images/scaled_cropped/00275.png
snkq 28/Feb/2008 01:13:45.0,images/scaled_cropped/00276.png
snkq 28/Feb/2008 01:14:18.0,images/scaled_cropped/00277.png
snkq 28/Feb/2008 01:14:33.0,images/scaled_cropped/00278.png
snkq 28/Feb/2008 01:15:12.0,images/scaled_cropped/00279.png
snkq 28/Feb/2008 01:15:51.0,images/scaled_cropped/00280.png
snkq 28/Feb/2008 01:16:30.0,images/scaled_cropped/00281.png
snkq 28/Feb/2008 01:18:24.0,images/scaled_cropped/00282.png
snkq 28/Feb/2008 01:19:18.0,images/scaled_cropped/00283.png
snkq 28/Feb/2008 01:19:42.0,images/scaled_cropped/00284.png
snkq 28/Feb/2008 01:21:30.0,images/scaled_cropped/00285.png
snkq 28/Feb/2008 01:22:57.0,images/scaled_cropped/00286.png
snkq 28/Feb/2008 01:23:00.0,images/scaled_cropped/00287.png
snkq 28/Feb/2008 01:23:48.0,images/scaled_cropped/00288.png
snkq 28/Feb/2008 01:24:45.0,images/scaled_cropped/00289.png
snkq 28/Feb/2008 01:24:48.0,images/scaled_cropped/00290.png
snkq 28/Feb/2008 01:24:51.0,images/scaled_cropped/00291.png
snkq 28/Feb/2008 01:25:30.0,images/scaled_cropped/00292.png
snkq 28/Feb/2008 01:26:00.0,images/scaled_cropped/00293.png
snkq 28/Feb/2008 01:26:45.0,images/scaled_cropped/00294.png
snkq 28/Feb/2008 01:28:39.0,images/scaled_cropped/00295.png
snkq 28/Feb/2008 01:28:51.0,images/scaled_cropped/00296.png
snkq 28/Feb/2008 01:28:54.0,images/scaled_cropped/00297.png
snkq 28/Feb/2008 01:29:24.0,images/scaled_cropped/00298.png
snkq 28/Feb/2008 01:29:33.0,images/scaled_cropped/00299.png
snkq 28/Feb/2008 01:29:51.0,images/scaled_cropped/00300.png
snkq 28/Feb/2008 01:30:09.0,images/scaled_cropped/00301.png
snkq 28/Feb/2008 01:30:42.0,images/scaled_cropped/00302.png
snkq 28/Feb/2008 01:32:42.0,images/scaled_cropped/00303.png
snkq 28/Feb/2008 01:33:30.0,images/scaled_cropped/00304.png
snkq 28/Feb/2008 01:36:06.0,images/scaled_cropped/00305.png
snkq 28/Feb/2008 01:36:18.0,images/scaled_cropped/00306.png
snkq 28/Feb/2008 01:38:36.0,images/scaled_cropped/00307.png
snkq 28/Feb/2008 01:39:00.0,images/scaled_cropped/00308.png
snkq 28/Feb/2008 01:39:51.0,images/scaled_cropped/00309.png
snkq 28/Feb/2008 01:39:57.0,images/scaled_cropped/00310.png
snkq 28/Feb/2008 01:40:09.0,images/scaled_cropped/00311.png
snkq 28/Feb/2008 01:40:27.0,images/scaled_cropped/00312.png
snkq 28/Feb/2008 01:40:42.0,images/scaled_cropped/00313.png
snkq 28/Feb/2008 01:41:39.0,images/scaled_cropped/00314.png
snkq 28/Feb/2008 01:44:45.0,images/scaled_cropped/00315.png
snkq 28/Feb/2008 01:45:06.0,images/scaled_cropped/00316.png
snkq 28/Feb/2008 01:45:42.0,images/scaled_cropped/00317.png
snkq 28/Feb/2008 01:46:24.0,images/scaled_cropped/00318.png
snkq 28/Feb/2008 01:46:36.0,images/scaled_cropped/00319.png
snkq 28/Feb/2008 01:48:48.0,images/scaled_cropped/00320.png
snkq 28/Feb/2008 01:50:54.0,images/scaled_cropped/00321.png
snkq 28/Feb/2008 01:51:15.0,images/scaled_cropped/00322.png
snkq 28/Feb/2008 01:52:03.0,images/scaled_cropped/00323.png
snkq 28/Feb/2008 01:53:03.0,images/scaled_cropped/00324.png
snkq 28/Feb/2008 01:53:15.0,images/scaled_cropped/00325.png
snkq 28/Feb/2008 01:54:57.0,images/scaled_cropped/00326.png
snkq 28/Feb/2008 01:56:24.0,images/scaled_cropped/00327.png
snkq 28/Feb/2008 01:56:36.0,images/scaled_cropped/00328.png
snkq 28/Feb/2008 01:56:39.0,images/scaled_cropped/00329.png
snkq 28/Feb/2008 01:56:57.0,images/scaled_cropped/00330.png
snkq 28/Feb/2008 01:57:30.0,images/scaled_cropped/00331.png
snkq 28/Feb/2008 01:58:06.0,images/scaled_cropped/00332.png
snkq 28/Feb/2008 01:59:51.0,images/scaled_cropped/00333.png
snkq 28/Feb/2008 02:00:42.0,images/scaled_cropped/00334.png
snkq 28/Feb/2008 02:00:57.0,images/scaled_cropped/00335.png
snkq 28/Feb/2008 02:01:09.0,images/scaled_cropped/00336.png
snkq 28/Feb/2008 02:01:12.0,images/scaled_cropped/00337.png
snkq 28/Feb/2008 02:01:33.0,images/scaled_cropped/00338.png
snkq 28/Feb/2008 02:01:48.0,images/scaled_cropped/00339.png
snkq 28/Feb/2008 02:04:15.0,images/scaled_cropped/00340.png
snkq 28/Feb/2008 02:05:18.0,images/scaled_cropped/00341.png
snkq 28/Feb/2008 02:07:54.0,images/scaled_cropped/00342.png
snkq 28/Feb/2008 02:08:09.0,images/scaled_cropped/00343.png
snkq 28/Feb/2008 02:09:51.0,images/scaled_cropped/00344.png
snkq 28/Feb/2008 02:10:03.0,images/scaled_cropped/00345.png
snkq 28/Feb/2008 02:10:33.0,images/scaled_cropped/00346.png
snkq 28/Feb/2008 02:11:15.0,images/scaled_cropped/00347.png
snkq 28/Feb/2008 02:12:09.0,images/scaled_cropped/00348.png
snkq 28/Feb/2008 02:12:48.0,images/scaled_cropped/00349.png
snkq 28/Feb/2008 02:13:06.0,images/scaled_cropped/00350.png
snkq 28/Feb/2008 02:13:18.0,images/scaled_cropped/00351.png
snkq 28/Feb/2008 02:13:36.0,images/scaled_cropped/00352.png
snkq 28/Feb/2008 02:15:57.0,images/scaled_cropped/00353.png
snkq 28/Feb/2008 02:17:15.0,images/scaled_cropped/00354.png
snkq 28/Feb/2008 02:17:18.0,images/scaled_cropped/00355.png
snkq 28/Feb/2008 02:18:54.0,images/scaled_cropped/00356.png
snkq 28/Feb/2008 02:19:09.0,images/scaled_cropped/00357.png
snkq 28/Feb/2008 02:19:18.0,images/scaled_cropped/00358.png
snkq 28/Feb/2008 02:20:00.0,images/scaled_cropped/00359.png
snkq 28/Feb/2008 02:20:48.0,images/scaled_cropped/00360.png
snkq 28/Feb/2008 02:21:30.0,images/scaled_cropped/00361.png
snkq 28/Feb/2008 02:22:03.0,images/scaled_cropped/00362.png
snkq 28/Feb/2008 02:23:03.0,images/scaled_cropped/00363.png
snkq 28/Feb/2008 02:24:00.0,images/scaled_cropped/00364.png
snkq 28/Feb/2008 02:26:12.0,images/scaled_cropped/00365.png
snkq 28/Feb/2008 02:26:15.0,images/scaled_cropped/00366.png
snkq 28/Feb/2008 02:27:36.0,images/scaled_cropped/00367.png
snkq 28/Feb/2008 02:27:39.0,images/scaled_cropped/00368.png
snkq 28/Feb/2008 02:28:54.0,images/scaled_cropped/00369.png
snkq 28/Feb/2008 02:29:15.0,images/scaled_cropped/00370.png
snkq 28/Feb/2008 02:29:30.0,images/scaled_cropped/00371.png
snkq 28/Feb/2008 02:30:33.0,images/scaled_cropped/00372.png
snkq 28/Feb/2008 02:32:36.0,images/scaled_cropped/00373.png
snkq 28/Feb/2008 02:32:39.0,images/scaled_cropped/00374.png
snkq 28/Feb/2008 02:32:45.0,images/scaled_cropped/00375.png
snkq 28/Feb/2008 02:35:57.0,images/scaled_cropped/00376.png
snkq 28/Feb/2008 02:36:33.0,images/scaled_cropped/00377.png
snkq 28/Feb/2008 02:36:45.0,images/scaled_cropped/00378.png
